modality	code	native_name	english_name	speakers	hours_recorded	hours_validated
scs	mt	Malti	Maltese	222	18	8.7
scs	sw	Kiswahili	Swahili	1500	1131	415
scs	be	Беларуская	Belarusian	8613	1898	1817
scs	pa-IN	ਪੰਜਾਬੀ	Punjabi	75	4.7	2.5
scs	kbd	Адыгэбзэ (Къэбэрдей)	Kabardian	290	200	178
scs	lg	Luganda	Luganda	668	582	437
scs	hy-AM	Հայերեն	Armenian	441	57	31
scs	hi	हिंदी	Hindi	471	26	16
scs	gn	Guarani	Guarani	314	34	5.1
scs	kmr	Kurdî (Kurmancî)	Kurmanji Kurdish	683	106	73
scs	bas	Basaa	Basaa	57	14	12
scs	yue	粵語	Cantonese	1176	309	204
scs	ht	Ayisyen	Haitian	3	0	0
scs	mr	मराठी	Marathi	105	28	20
scs	ms	Bahasa Melayu	Malay	27	3.7	0
scs	ps	پښتو	Pashto	6928	3173	1020
scs	ug	ئۇيغۇرچە	Uyghur	1845	511	446
scs	tw	Twi	Twi	19	0.4	0.2
scs	yo	Yòrùbá	Yoruba	132	9.1	6.4
scs	sat	ᱥᱟᱱᱛᱟᱲᱤ (ᱚᱞ ᱪᱤᱠᱤ)	Santali (Ol Chiki)	13	1.1	0.5
scs	nan-tw	台語	Taiwanese (Minnan)	297	24	21
scs	yi	אידיש	Yiddish	124	2.2	2
scs	ig	Ásụ̀sụ́ Ìgbò	Igbo	171	14	0.4
scs	ti	ትግርኛ	Tigrinya	16	0.7	0.1
scs	tig	ትግረ	Tigre	152	13	12
scs	tk	Türkmençe	Turkmen	142	7.8	2.9
scs	quy	Quechua Chanka	Quechua Chanka	8	3.1	0
scs	skr	سرائیکی	Saraiki	60	6.7	4.3
scs	tok	toki pona	Toki Pona	171	24	16
scs	dyu	Dioula ye	Dioula	35	0.5	0.4
scs	nso	Sesotho sa Leboa	Northern Sotho	1	0	0
scs	st	Sesotho sa Borwa	Southern Sotho	2	0.2	0
scs	ts	Xitsonga	Xitsonga	1	0	0
scs	ve	Tshivenḓa	Tshivenda	2	0	0
scs	nr	IsiNdebele (Sewula)	IsiNdebele (South)	2	0	0
scs	ss	Siswati	Siswati	2	0.2	0
scs	tn	Setswana	Setswana	17	4.9	4.3
scs	xh	IsiXhosa	Xhosa	4	0	0
scs	zu	Zulu	Zulu	8	0.3	0
scs	lo	ພາສາລາວ	Lao	16	0.4	0.3
scs	zgh	ⵜⴰⵎⴰⵣⵉⵖⵜ	Tamazight	38	2.1	1.4
scs	dag	_	Dagbani	57	26	9.7
scs	zza	Kurdkî (Zazakî)	Zaza	20	2.5	1.9
scs	byv	_	Medumba	96	14	14
scs	nhi	_	Western Sierra Puebla Nahuatl	6	0.6	0.1
scs	ltg	Latgalīšu	Latgalian	383	34	31
scs	os	Ирон	Ossetian	37	1.5	1.4
scs	ewo	_	Ewondo	31	20	19
scs	lzz	Lazuri	Laz	60	11	6.4
scs	qvi	_	Kichwa	15	13	12
scs	sd	_	Sindhi	27	40	0.4
scs	dav	_	Kidaw'ida	24	56	9.3
scs	luo	_	Dholuo	47	120	30
scs	kln	_	Kalenjin	41	92	43
scs	dar	Дарган	Dargwa	13	7.9	4.7
scs	abb	Ɓàŋkón	Bankon	22	12	12
scs	bax	Shüpamom	Bamun	13	13	11
scs	bba	Baatɔnum	Baatonum	14	16	12
scs	bbj	_	Ghomala	31	13	13
scs	bci	_	Baoule	16	15	12
scs	beb	_	Bamvele	33	12	11
scs	bfd	_	Bafut	36	12	11
scs	bkm	_	Kom	27	13	13
scs	bnm	_	Batanga	21	17	17
scs	bri	_	Mokpwe	15	12	11
scs	bum	_	Bulu	22	11	11
scs	dua	_	Duala	13	16	14
scs	ebr	_	Ebrie	6	3.2	2.4
scs	eto	_	Eton	26	11	11
scs	fan	_	Fang	43	12	12
scs	fue	_	Borgu Fulfulde	10	11	11
scs	gya	_	Northwest Gbaya	31	11	10
scs	ibb	_	Ibibio	19	28	12
scs	ksf	_	Bafia	25	21	20
scs	mbo	_	Mbo	13	13	11
scs	mxu	_	Mada	22	15	14
scs	nnh	_	Ngiembon	17	23	23
scs	qxp	Punu qhichwa	Puno Quechua	14	12	9.2
scs	tui	t'pur	Tupuri	50	12	11
scs	tvu	_	Tunen	13	11	11
scs	wes	_	Cameroon Pidgin	18	11	11
scs	fub	_	Adamawa Fulfulde	18	14	14
scs	pcm	_	Nigerian Pidgin English	59	16	13
scs	bbl	ვაჲღეჼ	Tush	22	12	12
scs	bft	بلتی	Balti	156	19	18
scs	bgp	بلوچی	Eastern Balochi	25	14	13
scs	bsk	Mishaski	Brushaski	27	12	11
scs	cut	Dbaku	Teutila Cuicatec	15	11	11
scs	cux	_	Tepeuxila Cuicatec	11	11	11
scs	hno	شمالی ہندکو	Northern Hindko	36	11	11
scs	khw	کھوار	Khowar	50	21	18
scs	kls	Kalasha	Kalasha	23	11	11
scs	mau	_	Huautla Mazatec	7	11	11
scs	ncx	Nahuat	Central Puebla Nahuatl	41	12	11
scs	pua	_	Western Highland Purepecha	9	12	11
scs	scl	شِینا	Shina	40	11	11
scs	sei	_	Seri	16	11	11
scs	sva	ლუშნუ	Svan	55	19	16
scs	trw	توروالی	Torwali	27	19	19
scs	var	Makurawe	Huarijio	12	12	10
scs	xhe	کھیترانی	Khetrani	11	11	11
scs	xmf	მარგალური	Mingrelian	89	13	12
scs	yaq	Jiak noki	Yaqui	5	12	11
scs	zoc	_	Copainalá Zoque	12	11	11
scs	esu	_	Central Alaskan Yupʼik	4	7.6	7.6
scs	gv	_	Manx	9	11	11
scs	qup	_	Southern Pastaza Quechua	15	16	12
scs	szy	Sakizaya	Sakizaya	26	15	14
scs	dml	_	Dameli	5	11	11
scs	oru	اُرمړي	Ormuri	13	19	18
scs	phl	پالولا	Palula	20	30	22
scs	ipk	_	Iñupiaq	2	7.2	7.2
scs	bnn	Bunun	Bunun	19	12	11
scs	dru	Drekay	Rukai	20	11	11
scs	pwn	_	Paiwan	27	15	15
scs	tay	Atayal	Atayal	18	13	12
scs	trv	_	Seediq	10	11	10
scs	qxu	_	Quechua Arequipa-La Unión	16	14	11
scs	jqr	_	Jaqaru	12	11	10
scs	qux	_	Quechua Yauyos	15	14	11
scs	qva	_	Quechua Ambo-Pasco	13	11	10
scs	qvl	_	Quechua Cajatambo	19	11	11
scs	qwa	_	Quechua Corongo Ancash	13	12	10
scs	qws	_	Quechua Sihuas Ancash	12	11	11
scs	qxa	_	Quechua Chiquián	18	11	11
scs	qxt	_	Quechua Pasco Santa Ana de Tusi	16	14	11
scs	qxw	_	Quechua Jauja Wanka	14	14	10
scs	bsh	کتہ وری	Kateviri	14	11	11
scs	dmk	داوُدِݵ	Dawoodi	10	11	11
scs	gju	گوجری	Gujari	6	11	11
scs	gwc	گاؤری	Gawri	22	16	12
scs	gwt	گوَرباتی	Gawarbaiti	5	13	13
scs	lss	لاسي	Lassi	15	11	10
scs	mvy	اباسیْن کوستَیں	Indus Kohistani	56	26	23
scs	plk	کوہستانی شینا	Kohistani Shina	10	17	13
scs	ush	_	Ushojo	23	6.8	6.7
scs	wbl	Wakhi (Wuk̃hikwor)	Wakhi	14	16	13
scs	xka	کلکوٹی	Kalkoti	9	11	11
scs	gsw	Elsassisch	Alsatian	25	1.1	0.4
scs	rup	_	Aromanian	9	0.1	0
scs	btv	_	Bateri	16	11	11
scs	ggg	_	Gurgula	24	13	13
scs	gig	_	Goaria	20	11	11
scs	gjk	_	Kachhi	23	12	11
scs	kvx	_	Parkari Koli	22	12	12
scs	kxp	_	Wadiyara Koli	22	12	12
scs	lrk	_	Loarki	20	12	12
scs	mki	_	Dhatki	12	11	11
scs	mve	_	Marwari	20	11	11
scs	odk	_	Oadki	20	12	12
scs	phr	_	Pahari-Pothwari	63	15	15
scs	sbn	_	Sindhi Bhil	21	11	11
scs	ssi	_	Sansi	21	11	11
scs	ydg	_	Yadgha	15	12	11
scs	bag	Tukí	Tuki	14	12	12
scs	ajg	_	Adja	23	13	13
scs	bkh	_	Bakoko	13	15	11
scs	cjk	_	Chokwe	45	15	13
scs	cpy	_	Asheninka South Ucayali	15	11	11
scs	fmp	_	Feʼefeʼe	32	13	12
scs	gej	_	Mina	20	12	12
scs	gid	_	Guidar	16	11	11
scs	giz	_	Guiziga	32	11	11
scs	hem	_	Kihemba	41	11	11
scs	hux	_	Nüpode Huitoto	13	12	10
scs	jgo	_	Ngomba	16	12	12
scs	kdh	_	Kotokoli	20	11	11
scs	lua	_	Tshiluba	46	14	11
scs	mcf	_	Matses	21	11	11
scs	mcn	_	Massa	35	11	11
scs	mcx	_	Mpiemo	10	11	11
scs	mdd	_	Mbum	7	11	11
scs	mgg	_	Kunabembe	8	11	11
scs	mhk	_	Mungaka	9	12	12
scs	mse	_	Moussey	18	11	11
scs	mua	_	Mundang	17	11	11
scs	mug	_	Musgum	17	13	12
scs	nla	_	Ngombale	15	11	10
scs	nmz	_	Losso	35	12	12
scs	prq	_	Asheninka Perene	13	11	11
scs	qur	_	Quechua Yanahuanca	12	11	11
scs	qus	_	Quechua Santiago del Estero	24	12	12
scs	rof	_	Kirombo	24	12	11
scs	tar	Rarámuri	Central Tarahumara	17	11	10
scs	tli	_	Tlingit	3	11	11
scs	udl	_	Ouldémé	20	11	11
scs	yav	_	Nuasue	10	14	12
scs	nlv	Nauatl	Orizaba Nahuatl	16	13	12
scs	brh	_	Brahui	18	11	11
scs	eko	_	Ekoti	7	11	11
scs	haz	_	Hazargi	8	11	11
scs	nmg	_	Kwasio	11	11	11
scs	nyu	_	Nyungwe	5	11	11
scs	qvj	_	Loja Highland Kichwa	16	12	11
scs	bce	_	Mengambo	14	11	11
sps	en	English	English	530	19	8
sps	cdo	_	Eastern Min	31	10	1
sps	ms-MY	_	Bahasa Malay	23	7	6
sps	bsy	Sabah Bisaya	Sabah Bisaya	25	11	0
sps	msi	Sabah Malay	Sabah Malay	33	14	1
sps	kzi	Kelabit	Kelabit	21	10	1
sps	cpx	Heng Hua	Heng Hua	29	12	1
sps	mel	Melanau	Central Melanau	35	11	1
sps	sdo	Serian Bidayuh	Serian Bidayuh	25	10	2
sps	xkl	Kenyah	Kenyah	23	11	2
sps	pne	Western Penan	Western Penan	24	13	13
sps	snv	Saʼban	Sa'ban	30	11	1
sps	fr	Français	French	37	2	1
sps	mmc	Jñatjo	Michoacán Mazahua	12	12	12
sps	tr	Türkçe	Turkish	8	1	1
sps	meh	Mixteco Yucuhiti	Southwestern Tlaxiaco Mixtec	16	11	11
sps	top	Papantla Totonac	Papantla Totonac	10	11	11
sps	sco	Scots	Scots	21	12	11
sps	bew	Betawi	Betawi	21	11	11
sps	hch	Wixárika	Wixárika	10	11	11
sps	aat	Arvanitika	Arvanitika	5	3	0
sps	an	Aragonés	Aragonese	1	1	1
sps	tob	_	Toba Qom	25	11	11
sps	aln	Gheg Albanian	Gheg Albanian	14	11	11
sps	kcn	Nubi	Nubi	26	15	10
sps	lth	Thur	Thur	29	34	11
sps	ush	_	Ushojo	10	6	5
sps	lke	Kenyi	Kenyi	26	13	11
sps	ruc	Ruuli	Ruuli	26	18	11
sps	ukv	_	Kuku	22	12	11
sps	hac	Gorani	Gorani	19	12	1
sps	el-CY	_	Cypriot Greek	10	11	11
sps	qxp	Punu qhichwa	Puno Quechua	26	10	6
sps	gv	_	Manx	1	1	0
sps	kbd	Адыгэбзэ (Къэбэрдей)	Kabardian (East Circassian)	38	9	6
sps	ady	Адыгабзэ	Adyghe (West Circassian)	26	6	6
sps	lij	Ligure	Ligurian	5	3	2
sps	bxk	Bukusu	Bukusu	27	15	11
sps	koo	Konzo	Konzo	28	15	11
sps	lv	Latviešu	Latvian	6	1	1
sps	rwm	Amba	Amba	21	14	11
sps	cgg	Chiga	Chiga	27	12	11
sps	ttj	Rutoro	Rutoro	26	17	11
sps	ka	ქართული	Georgian	7	1	1
sps	cy	Cymraeg	Welsh	2	1	0
sps	br	Brezhoneg	Breton	14	1	1
sps	ca	català	Catalan	12	1	1
sps	led	Lendu	Lendu	26	16	11
sps	gsw	Elsassisch	Alsatian	50	5	1
sps	es	Español	Spanish	3	1	1
sps	gl	Galego	Galician	15	2	1
sps	brx	_	Bodo	1	1	1
sps	bas	Basaa	Basaa	11	6	6
sps	de	Deutsch	German	18	2	1
sps	ba	Башҡорт	Bashkir	4	1	1
sps	fy-NL	Frysk	Frisian	1	1	0
sps	ga-IE	Gaeilge	Irish	4	1	1
sps	ru	Русский	Russian	14	3	2
sps	seh	Sena	Sena	5	2	1
sps	sn	Shona	Shona	2	1	0
sps	th	ไทย	Thai	1	1	0
sps	shi	_	Tachelhit	4	1	1
