language_name,language_code,issue_number,issue_url,title,state,created_at
Yiddish,yi,3256,https://github.com/common-voice/common-voice/issues/3256,LOCALIZATION REQUEST: ,closed,2021-09-09T05:40:18Z
Luganda,lg,3253,https://github.com/common-voice/common-voice/issues/3253,Luganda,closed,2021-09-07T14:27:54Z
Arabic Algerian Dialect,ar,3234,https://github.com/common-voice/common-voice/issues/3234,Arabic Algerian Dialect,open,2021-08-12T14:29:18Z
"Arabic Tunisian ""dialect""",ar,3233,https://github.com/common-voice/common-voice/issues/3233,"Arabic Tunisian ""dialect"" ",open,2021-08-12T09:26:13Z
Moroccan Arabic,ar,3163,https://github.com/common-voice/common-voice/issues/3163,Moroccan Arabic Localization Request,open,2021-07-03T23:31:45Z
Twi,tw,3157,https://github.com/common-voice/common-voice/issues/3157,Request new language - Twi (Ghana),closed,2021-06-21T15:46:23Z
Kannada(ಕನ್ನಡ),kn,3056,https://github.com/common-voice/common-voice/issues/3056,Kannada(ಕನ್ನಡ) Language Request,closed,2021-03-28T15:32:31Z
Interlingue,ie,3047,https://github.com/common-voice/common-voice/issues/3047,LOCALIZATION REQUEST: Interlingue,closed,2021-03-20T22:33:39Z
Papiamento,pap,3044,https://github.com/common-voice/common-voice/issues/3044,Language Request: Papiamento,closed,2021-03-18T18:45:27Z
Malay,ms,3002,https://github.com/common-voice/common-voice/issues/3002,Language Request(Malay),closed,2021-02-04T22:36:13Z
Cantonese (YUE),yue,2926,https://github.com/common-voice/common-voice/issues/2926,Request for addition for Cantonese (YUE) language,closed,2020-10-31T19:06:04Z
Basaa,bas,2918,https://github.com/common-voice/common-voice/issues/2918,Add Basaa language for collection,closed,2020-10-15T21:21:10Z
Brazilian Protugese,pt-BR,1277,https://github.com/common-voice/common-voice/issues/1277,add language,closed,2018-07-20T00:55:15Z
